Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/owners 107 ${websiteName},2,173,112,234,234,234,112,234,"0,000%","2,86123","1,49","1,26"
http://20.50.171.10:9966/petclinic/api/owners 168 ${websiteName},2,2409,102,4716,4716,4716,102,4716,"0,000%",",36751","0,19","0,16"
http://20.50.171.10:9966/petclinic/api/owners 50 ${websiteName},3,6873,226,20292,20292,20292,102,20292,"0,000%",",13848","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 31 ${websiteName},3,4492,358,13012,13012,13012,106,13012,"0,000%",",20919","0,11","0,09"
http://20.50.171.10:9966/petclinic/api/owners 183 ${websiteName},2,5950,91,11810,11810,11810,91,11810,"0,000%",",15935","0,08","0,07"
http://20.50.171.10:9966/petclinic/api/owners 135 ${websiteName},2,164,110,219,219,219,110,219,"0,000%","2,99401","1,56","1,32"
http://20.50.171.10:9966/petclinic/api/owners 48 ${websiteName},3,3726,182,10887,10887,10887,109,10887,"0,000%",",24472","0,13","0,11"
http://20.50.171.10:9966/petclinic/api/owners 199 ${websiteName},2,10724,121,21328,21328,21328,121,21328,"0,000%",",09021","0,05","0,04"
http://20.50.171.10:9966/petclinic/api/owners 20 ${websiteName},3,6607,360,19353,19353,19353,109,19353,"0,000%",",14529","0,08","0,06"
http://20.50.171.10:9966/petclinic/api/owners 44 ${websiteName},3,6563,291,19288,19288,19288,111,19288,"0,000%",",14522","0,08","0,06"
http://20.50.171.10:9966/petclinic/api/owners 41 ${websiteName},3,4044,209,11803,11803,11803,122,11803,"0,000%",",22819","0,12","0,10"
http://20.50.171.10:9966/petclinic/api/owners 6 ${websiteName},3,4885,390,14159,14159,14159,107,14159,"0,000%",",19435","0,10","0,09"
http://20.50.171.10:9966/petclinic/api/owners 130 ${websiteName},2,169,114,225,225,225,114,225,"0,000%","2,94551","1,53","1,30"
http://20.50.171.10:9966/petclinic/api/owners 39 ${websiteName},3,5127,361,14899,14899,14899,121,14899,"0,000%",",18474","0,10","0,08"
http://20.50.171.10:9966/petclinic/api/owners 196 ${websiteName},2,7040,103,13978,13978,13978,103,13978,"0,000%",",13497","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 177 ${websiteName},2,5071,106,10037,10037,10037,106,10037,"0,000%",",18620","0,10","0,08"
http://20.50.171.10:9966/petclinic/api/owners 197 ${websiteName},2,10086,96,20076,20076,20076,96,20076,"0,000%",",09558","0,05","0,04"
