Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/pettypes 73 ${websiteName},1,147,147,147,147,147,147,147,"0,000%","6,80272","123,90","1,73"
http://20.50.171.10:9966/petclinic/api/pettypes 72 ${websiteName},1,156,156,156,156,156,156,156,"0,000%","6,41026","116,92","1,63"
http://20.50.171.10:9966/petclinic/api/pettypes 74 ${websiteName},1,139,139,139,139,139,139,139,"0,000%","7,19424","131,22","1,83"
http://20.50.171.10:9966/petclinic/api/pettypes 70 Pet clinic,1,44,44,44,44,44,44,44,"0,000%","22,72727","9,01","7,48"
http://20.50.171.10:9966/petclinic/api/pettypes 75 ${websiteName},1,141,141,141,141,141,141,141,"0,000%","7,09220","129,95","1,80"
http://20.50.171.10:9966/petclinic/api/pettypes 71 Pet clinic,1,48,48,48,48,48,48,48,"0,000%","20,83333","8,26","6,86"
http://20.50.171.10:9966/petclinic/api/pettypes 76 ${websiteName},1,134,134,134,134,134,134,134,"0,000%","7,46269","136,94","1,89"
http://20.50.171.10:9966/petclinic/api/pettypes 77 ${websiteName},1,139,139,139,139,139,139,139,"0,000%","7,19424","132,01","1,83"
http://20.50.171.10:9966/petclinic/api/pettypes 72 Pet clinic,1,42,42,42,42,42,42,42,"0,000%","23,80952","9,44","7,84"
http://20.50.171.10:9966/petclinic/api/pettypes 78 ${websiteName},1,139,139,139,139,139,139,139,"0,000%","7,19424","132,41","1,83"
http://20.50.171.10:9966/petclinic/api/pettypes 73 Pet clinic,1,43,43,43,43,43,43,43,"0,000%","23,25581","9,22","7,65"
http://20.50.171.10:9966/petclinic/api/pettypes 74 Pet clinic,1,44,44,44,44,44,44,44,"0,000%","22,72727","9,01","7,48"
http://20.50.171.10:9966/petclinic/api/pettypes 79 ${websiteName},1,139,139,139,139,139,139,139,"0,000%","7,19424","132,60","1,83"
http://20.50.171.10:9966/petclinic/api/pettypes 80 ${websiteName},1,137,137,137,137,137,137,137,"0,000%","7,29927","134,54","1,85"
http://20.50.171.10:9966/petclinic/api/pettypes 75 Pet clinic,1,45,45,45,45,45,45,45,"0,000%","22,22222","8,81","7,31"
http://20.50.171.10:9966/petclinic/api/pettypes 76 Pet clinic,1,45,45,45,45,45,45,45,"0,000%","22,22222","8,81","7,31"
http://20.50.171.10:9966/petclinic/api/pettypes 77 Pet clinic,1,43,43,43,43,43,43,43,"0,000%","23,25581","9,22","7,65"
http://20.50.171.10:9966/petclinic/api/pettypes 81 ${websiteName},1,144,144,144,144,144,144,144,"0,000%","6,94444","128,19","1,76"
http://20.50.171.10:9966/petclinic/api/pettypes 82 ${websiteName},1,135,135,135,135,135,135,135,"0,000%","7,40741","136,73","1,88"
http://20.50.171.10:9966/petclinic/api/pettypes 78 Pet clinic,1,47,47,47,47,47,47,47,"0,000%","21,27660","8,44","7,00"
http://20.50.171.10:9966/petclinic/api/pettypes 83 ${websiteName},1,138,138,138,138,138,138,138,"0,000%","7,24638","134,16","1,84"
http://20.50.171.10:9966/petclinic/api/pettypes 79 Pet clinic,1,43,43,43,43,43,43,43,"0,000%","23,25581","9,22","7,65"
http://20.50.171.10:9966/petclinic/api/pettypes 84 ${websiteName},1,135,135,135,135,135,135,135,"0,000%","7,40741","137,34","1,88"
http://20.50.171.10:9966/petclinic/api/pettypes 80 Pet clinic,1,44,44,44,44,44,44,44,"0,000%","22,72727","9,01","7,48"
http://20.50.171.10:9966/petclinic/api/pettypes 85 ${websiteName},1,133,133,133,133,133,133,133,"0,000%","7,51880","139,82","1,91"
http://20.50.171.10:9966/petclinic/api/pettypes 86 ${websiteName},1,134,134,134,134,134,134,134,"0,000%","7,46269","138,77","1,89"
http://20.50.171.10:9966/petclinic/api/pettypes 81 Pet clinic,1,42,42,42,42,42,42,42,"0,000%","23,80952","9,44","7,84"
http://20.50.171.10:9966/petclinic/api/pettypes 82 Pet clinic,1,49,49,49,49,49,49,49,"0,000%","20,40816","8,09","6,72"
http://20.50.171.10:9966/petclinic/api/pettypes 87 ${websiteName},1,136,136,136,136,136,136,136,"0,000%","7,35294","136,93","1,87"
http://20.50.171.10:9966/petclinic/api/pettypes 83 Pet clinic,1,44,44,44,44,44,44,44,"0,000%","22,72727","9,01","7,48"
http://20.50.171.10:9966/petclinic/api/pettypes 84 Pet clinic,1,44,44,44,44,44,44,44,"0,000%","22,72727","9,01","7,48"
http://20.50.171.10:9966/petclinic/api/pettypes 88 ${websiteName},1,141,141,141,141,141,141,141,"0,000%","7,09220","132,47","1,80"
http://20.50.171.10:9966/petclinic/api/pettypes 89 ${websiteName},1,133,133,133,133,133,133,133,"0,000%","7,51880","140,43","1,91"
http://20.50.171.10:9966/petclinic/api/pettypes 85 Pet clinic,1,47,47,47,47,47,47,47,"0,000%","21,27660","8,44","7,00"
http://20.50.171.10:9966/petclinic/api/pettypes 90 ${websiteName},1,136,136,136,136,136,136,136,"0,000%","7,35294","137,54","1,87"
http://20.50.171.10:9966/petclinic/api/pettypes 86 Pet clinic,1,42,42,42,42,42,42,42,"0,000%","23,80952","9,44","7,84"
http://20.50.171.10:9966/petclinic/api/pettypes 91 ${websiteName},1,132,132,132,132,132,132,132,"0,000%","7,57576","141,91","1,92"
http://20.50.171.10:9966/petclinic/api/pettypes 87 Pet clinic,1,42,42,42,42,42,42,42,"0,000%","23,80952","9,44","7,84"
http://20.50.171.10:9966/petclinic/api/pettypes 92 ${websiteName},1,140,140,140,140,140,140,140,"0,000%","7,14286","134,19","1,81"
http://20.50.171.10:9966/petclinic/api/pettypes 93 ${websiteName},1,133,133,133,133,133,133,133,"0,000%","7,51880","141,46","1,91"
http://20.50.171.10:9966/petclinic/api/pettypes 88 Pet clinic,1,43,43,43,43,43,43,43,"0,000%","23,25581","9,22","7,65"
http://20.50.171.10:9966/petclinic/api/pettypes 89 Pet clinic,1,45,45,45,45,45,45,45,"0,000%","22,22222","8,81","7,31"
http://20.50.171.10:9966/petclinic/api/pettypes 90 Pet clinic,1,47,47,47,47,47,47,47,"0,000%","21,27660","8,44","7,00"
http://20.50.171.10:9966/petclinic/api/pettypes 94 ${websiteName},1,143,143,143,143,143,143,143,"0,000%","6,99301","131,76","1,78"
http://20.50.171.10:9966/petclinic/api/pettypes 95 ${websiteName},1,135,135,135,135,135,135,135,"0,000%","7,40741","139,77","1,88"
http://20.50.171.10:9966/petclinic/api/pettypes 91 Pet clinic,1,46,46,46,46,46,46,46,"0,000%","21,73913","8,62","7,15"
http://20.50.171.10:9966/petclinic/api/pettypes 96 ${websiteName},1,136,136,136,136,136,136,136,"0,000%","7,35294","138,94","1,87"
http://20.50.171.10:9966/petclinic/api/pettypes 97 ${websiteName},1,134,134,134,134,134,134,134,"0,000%","7,46269","141,02","1,89"
http://20.50.171.10:9966/petclinic/api/pettypes 92 Pet clinic,1,54,54,54,54,54,54,54,"0,000%","18,51852","7,34","6,09"
http://20.50.171.10:9966/petclinic/api/pettypes 93 Pet clinic,1,52,52,52,52,52,52,52,"0,000%","19,23077","7,62","6,33"
http://20.50.171.10:9966/petclinic/api/pettypes 98 ${websiteName},1,137,137,137,137,137,137,137,"0,000%","7,29927","138,33","1,85"
http://20.50.171.10:9966/petclinic/api/pettypes 95 Pet clinic,1,45,45,45,45,45,45,45,"0,000%","22,22222","8,81","7,31"
http://20.50.171.10:9966/petclinic/api/pettypes 94 Pet clinic,1,47,47,47,47,47,47,47,"0,000%","21,27660","8,44","7,00"
http://20.50.171.10:9966/petclinic/api/pettypes 99 ${websiteName},1,143,143,143,143,143,143,143,"0,000%","6,99301","132,72","1,78"
http://20.50.171.10:9966/petclinic/api/pettypes 100 ${websiteName},1,138,138,138,138,138,138,138,"0,000%","7,24638","137,72","1,84"
http://20.50.171.10:9966/petclinic/api/pettypes 96 Pet clinic,1,47,47,47,47,47,47,47,"0,000%","21,27660","8,44","7,00"
http://20.50.171.10:9966/petclinic/api/pettypes 97 Pet clinic,1,55,55,55,55,55,55,55,"0,000%","18,18182","7,21","5,98"
http://20.50.171.10:9966/petclinic/api/pettypes 98 Pet clinic,1,44,44,44,44,44,44,44,"0,000%","22,72727","9,01","7,48"
http://20.50.171.10:9966/petclinic/api/pettypes 99 Pet clinic,1,46,46,46,46,46,46,46,"0,000%","21,73913","8,62","7,15"
http://20.50.171.10:9966/petclinic/api/pettypes 100 Pet clinic,1,47,47,47,47,47,47,47,"0,000%","21,27660","8,44","7,00"
TOTAL,400,91,59,143,146,156,40,209,"0,000%","339,84707","3065,41","99,07"
