Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/owners 12 ${websiteName},1,4657,4657,4657,4657,4657,4657,4657,"0,000%",",21473","63,93","0,05"
http://20.50.171.10:9966/petclinic/api/pets/1 24 Pet clinic,2,43,43,44,44,44,43,44,"100,000%","22,98851","5,72","8,77"
http://20.50.171.10:9966/petclinic/api/owners/5 12 Pet clinic,2,43,42,45,45,45,42,45,"0,000%","5,27704","2,33","1,34"
http://20.50.171.10:9966/petclinic/api/pettypes 43 Pet clinic,1,128,128,128,128,128,128,128,"0,000%","7,81250","252,35","1,98"
http://20.50.171.10:9966/petclinic/api/pettypes 46 Pet clinic,1,88,88,88,88,88,88,88,"0,000%","11,36364","367,05","2,89"
http://20.50.171.10:9966/petclinic/api/pets/1 43 Pet clinic,2,46,46,46,46,46,46,46,"100,000%","21,50538","5,36","8,20"
http://20.50.171.10:9966/petclinic/api/pettypes 31 Pet clinic,1,131,131,131,131,131,131,131,"0,000%","7,63359","246,57","1,94"
http://20.50.171.10:9966/petclinic/api/pets/1 46 Pet clinic,2,45,44,46,46,46,44,46,"100,000%","22,22222","5,53","8,47"
http://20.50.171.10:9966/petclinic/api/pets/1 31 Pet clinic,2,48,47,50,50,50,47,50,"100,000%","20,40816","5,08","7,78"
http://20.50.171.10:9966/petclinic/api/owners 36 ${websiteName},1,4355,4355,4355,4355,4355,4355,4355,"0,000%",",22962","68,36","0,06"
http://20.50.171.10:9966/petclinic/api/owners/5 36 Pet clinic,2,54,50,58,58,58,50,58,"0,000%","4,11523","1,82","1,04"
http://20.50.171.10:9966/petclinic/api/pettypes 12 Pet clinic,1,195,195,195,195,195,195,195,"0,000%","5,12821","165,65","1,30"
http://20.50.171.10:9966/petclinic/api/owners 18 ${websiteName},1,4776,4776,4776,4776,4776,4776,4776,"0,000%",",20938","62,34","0,05"
http://20.50.171.10:9966/petclinic/api/pets/1 12 Pet clinic,2,48,47,49,49,49,47,49,"100,000%","20,83333","5,19","7,94"
http://20.50.171.10:9966/petclinic/api/owners/5 18 Pet clinic,2,50,49,51,51,51,49,51,"0,000%","3,85356","1,70","0,98"
http://20.50.171.10:9966/petclinic/api/owners 48 ${websiteName},1,4431,4431,4431,4431,4431,4431,4431,"0,000%",",22568","67,19","0,06"
http://20.50.171.10:9966/petclinic/api/pettypes 36 Pet clinic,1,289,289,289,289,289,289,289,"0,000%","3,46021","111,77","0,88"
http://20.50.171.10:9966/petclinic/api/owners/5 48 Pet clinic,2,54,50,58,58,58,50,58,"0,000%","6,15385","2,72","1,56"
http://20.50.171.10:9966/petclinic/api/pets/1 36 Pet clinic,2,43,43,43,43,43,43,43,"100,000%","22,98851","5,72","8,77"
http://20.50.171.10:9966/petclinic/api/owners 25 ${websiteName},1,4996,4996,4996,4996,4996,4996,4996,"0,000%",",20016","59,59","0,05"
http://20.50.171.10:9966/petclinic/api/pettypes 18 Pet clinic,1,333,333,333,333,333,333,333,"0,000%","3,00300","97,00","0,76"
http://20.50.171.10:9966/petclinic/api/owners/5 25 Pet clinic,2,54,53,55,55,55,53,55,"0,000%","5,30504","2,34","1,35"
http://20.50.171.10:9966/petclinic/api/pets/1 18 Pet clinic,2,42,42,43,43,43,42,43,"100,000%","23,52941","5,86","8,97"
http://20.50.171.10:9966/petclinic/api/pettypes 48 Pet clinic,1,131,131,131,131,131,131,131,"0,000%","7,63359","246,57","1,94"
http://20.50.171.10:9966/petclinic/api/pets/1 48 Pet clinic,2,43,41,45,45,45,41,45,"100,000%","23,25581","5,79","8,87"
http://20.50.171.10:9966/petclinic/api/owners 42 ${websiteName},1,4785,4785,4785,4785,4785,4785,4785,"0,000%",",20899","62,22","0,05"
http://20.50.171.10:9966/petclinic/api/owners/5 42 Pet clinic,2,47,47,48,48,48,47,48,"0,000%","5,31915","2,35","1,35"
http://20.50.171.10:9966/petclinic/api/pettypes 25 Pet clinic,1,173,173,173,173,173,173,173,"0,000%","5,78035","186,71","1,47"
http://20.50.171.10:9966/petclinic/api/pets/1 25 Pet clinic,2,47,47,48,48,48,47,48,"100,000%","20,83333","5,19","7,94"
http://20.50.171.10:9966/petclinic/api/pettypes 42 Pet clinic,1,188,188,188,188,188,188,188,"0,000%","5,31915","171,81","1,35"
http://20.50.171.10:9966/petclinic/api/pets/1 42 Pet clinic,2,45,43,47,47,47,43,47,"100,000%","21,97802","5,47","8,38"
http://20.50.171.10:9966/petclinic/api/owners 7 ${websiteName},1,5815,5815,5815,5815,5815,5815,5815,"0,000%",",17197","51,20","0,04"
http://20.50.171.10:9966/petclinic/api/owners 15 ${websiteName},1,5678,5678,5678,5678,5678,5678,5678,"0,000%",",17612","52,44","0,04"
http://20.50.171.10:9966/petclinic/api/owners/5 7 Pet clinic,2,47,44,50,50,50,44,50,"0,000%","5,98802","2,64","1,52"
http://20.50.171.10:9966/petclinic/api/owners 39 ${websiteName},1,5241,5241,5241,5241,5241,5241,5241,"0,000%",",19080","56,81","0,05"
http://20.50.171.10:9966/petclinic/api/owners 33 ${websiteName},1,5364,5364,5364,5364,5364,5364,5364,"0,000%",",18643","55,51","0,05"
http://20.50.171.10:9966/petclinic/api/owners/5 15 Pet clinic,2,53,49,58,58,58,49,58,"0,000%","5,66572","2,50","1,44"
http://20.50.171.10:9966/petclinic/api/owners/5 39 Pet clinic,2,53,50,57,57,57,50,57,"0,000%","5,60224","2,47","1,42"
http://20.50.171.10:9966/petclinic/api/owners/5 33 Pet clinic,2,55,51,60,60,60,51,60,"0,000%","5,60224","2,47","1,42"
http://20.50.171.10:9966/petclinic/api/pettypes 7 Pet clinic,1,144,144,144,144,144,144,144,"0,000%","6,94444","224,31","1,76"
http://20.50.171.10:9966/petclinic/api/pettypes 15 Pet clinic,1,146,146,146,146,146,146,146,"0,000%","6,84932","221,24","1,74"
http://20.50.171.10:9966/petclinic/api/pets/1 7 Pet clinic,2,46,45,48,48,48,45,48,"100,000%","21,27660","5,30","8,11"
http://20.50.171.10:9966/petclinic/api/pettypes 39 Pet clinic,1,147,147,147,147,147,147,147,"0,000%","6,80272","219,73","1,73"
http://20.50.171.10:9966/petclinic/api/pettypes 33 Pet clinic,1,147,147,147,147,147,147,147,"0,000%","6,80272","219,73","1,73"
